City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,71.82,light rain,-23.1203,-134.9692,People ThankYou
1,High Level,CA,69.67,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
2,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
3,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
5,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
6,Bengkulu,ID,72.32,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
11,Albany,US,92.79,broken clouds,42.6001,-73.9662,
12,Keuruu,FI,73.58,overcast clouds,62.2667,24.7,Hostelli Nonna
13,Nikolskoye,RU,67.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
16,Tottori,JP,77.29,clear sky,35.5,134.2333,Hotel Monarque Tottori
17,Saint-Philippe,RE,67.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Yellowknife,CA,68.63,overcast clouds,62.456,-114.3525,The Explorer Hotel
19,Ardesen,TR,71.13,overcast clouds,41.1911,40.9875,Green Suada Hotel
20,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Lac-Megantic,CA,80.51,overcast clouds,45.5834,-70.8823,Motel Le Quiet
23,Bethel,US,92.17,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
24,Atar,MR,94.03,clear sky,20.5169,-13.0499,Oumou Elghoura
25,Anju,KP,70.7,overcast clouds,39.6178,125.6647,Super Secret Russian Base
26,Duluth,US,78.3,clear sky,46.7833,-92.1066,South Pier Inn
29,Hithadhoo,MV,81.27,heavy intensity rain,-0.6,73.0833,Scoop Guest House
31,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Pacifica,US,78.22,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
36,Altamira,BR,78.1,broken clouds,-3.2033,-52.2064,Requinte Hotel
37,Jamestown,US,84.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Banda Aceh,ID,78.82,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
41,Sawankhalok,TH,75.9,overcast clouds,17.316,99.8319,Boon Bunleng Resort
46,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Takoradi,GH,75.51,broken clouds,4.8845,-1.7554,Raybow International Hotel
54,Grand Gaube,MU,67.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Yabrud,SY,67.39,clear sky,33.9674,36.6574,صالة افراح الاندلس
56,Namatanai,PG,80.11,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
57,Koppal,IN,75.06,overcast clouds,15.35,76.15,Hotel B.S.Pawar Grand
59,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
61,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
62,Bambous Virieux,MU,67.21,light rain,-20.3428,57.7575,Casa Tia Villa
64,Kommunar,RU,67.55,broken clouds,59.6206,30.39,Guest House Izhora
68,East London,ZA,68.99,clear sky,-33.0153,27.9116,Tu Casa
70,Buchanan,LR,77.2,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
71,Mahebourg,MU,67.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Mahuva,IN,82.31,moderate rain,21.0914,71.7622,Hotel Blue Diamond.
75,Marienburg,PL,70.12,light rain,54.0359,19.0266,Hotel Centrum Malbork
78,Samarai,PG,80.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
80,Tautira,PF,77.41,scattered clouds,-17.7333,-149.15,Pension Oaoa
84,Buala,SB,80.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
85,Padang,ID,75.11,few clouds,-0.9492,100.3543,Mercure Padang
90,Port Alfred,ZA,68.27,clear sky,-33.5906,26.891,The Halyards Hotel
91,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
92,Souillac,MU,69.01,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
94,Butaritari,KI,82.42,light rain,3.0707,172.7902,Isles Sunset Lodge
95,Matay,EG,85.77,clear sky,28.419,30.7792,Nag Aespen
96,Guerrero Negro,MX,77.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
97,Acoyapa,NI,77.97,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
102,Bose,IT,72.99,clear sky,45.4612,8.0137,Locanda Borgo Antico
104,Murgab,TM,85.86,clear sky,37.4966,61.9714,Wepa Nurlyýew
105,Lahan,NP,81.03,moderate rain,26.7296,86.4951,Bhattarai Residence
106,Anloga,GH,77.74,scattered clouds,5.7947,0.8973,Pin Drop Hotel
107,Puerto Carreno,CO,84.25,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
111,Amapa,BR,75.72,broken clouds,1.0,-52.0,
114,Yuncheng,CN,76.5,overcast clouds,35.0231,110.9928,晋州快捷酒店
119,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
122,Bentiu,SS,77.0,overcast clouds,9.2333,29.8333,Mandela hôtel
123,Touros,BR,77.85,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
124,Pyapon,MM,77.97,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
126,Hun,LY,90.7,clear sky,29.1268,15.9477,Alrwasi Hotel
127,Newton,US,93.06,clear sky,42.337,-71.2092,Sheraton Boston Needham Hotel
128,Las Choapas,MX,87.67,scattered clouds,17.9333,-94.0833,Hotel Jysmak
130,Cabo Rojo,PR,87.39,broken clouds,18.0866,-67.1457,Hotel Perichi's
133,Almeria,ES,70.77,few clouds,37.1667,-2.3333,Casa Rural El Laurel
136,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
141,Kutum,SD,79.36,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
143,Ca Mau,VN,78.28,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
145,Luocheng,CN,71.08,overcast clouds,29.3848,104.0286,Luocheng Hotel
146,Norman Wells,CA,78.55,broken clouds,65.282,-126.8329,Heritage Hotel
147,Xuddur,SO,72.48,few clouds,4.1213,43.8894,Banjanay Hotel
148,Urubicha,BO,84.34,scattered clouds,-15.3833,-62.95,
149,Amga,RU,67.68,clear sky,60.8953,131.9608,Algys
150,Kodar,IN,84.16,overcast clouds,16.9833,79.9667,Hotel Athidhi Grand
155,Hami,CN,85.44,overcast clouds,42.8,93.45,Laoyutang Resort
156,Marquette,US,74.64,few clouds,46.5333,-87.6335,Al Quaal Lodge
158,Faanui,PF,78.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Lagoa,PT,67.41,overcast clouds,39.05,-27.9833,Casa Das Faias
160,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
163,Salalah,OM,80.6,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
167,Mogadishu,SO,77.32,overcast clouds,2.0371,45.3438,Hotel Juba
168,Pontes E Lacerda,BR,87.55,clear sky,-15.2261,-59.3353,Hotel Bressan
170,Nosy Varika,MG,68.77,light rain,-20.5833,48.5333,Hotel Volazara
171,Puerto Narino,CO,82.8,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
172,Amahai,ID,76.73,broken clouds,-3.3333,128.9167,HOTEL ISABELA
173,Roald,NO,68.9,clear sky,62.5833,6.1333,Flem Cabins
174,Millet,CA,69.17,scattered clouds,53.1001,-113.4687,Millet Village Trailer Park
175,Tromso,NO,70.38,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
177,Sola,VU,80.11,light rain,-13.8833,167.55,Leumerus Bungalows
178,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,Berbera,SO,91.27,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
180,Fort Nelson,CA,72.55,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
182,Roma,US,86.63,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
184,Dharchula,IN,72.64,overcast clouds,29.85,80.5333,Mahara Hotel
185,Miracema,BR,68.77,clear sky,-21.4122,-42.1967,Novo Hotel Varandas
187,Majene,ID,76.66,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
192,Veracruz,MX,87.66,scattered clouds,19.3333,-96.6667,El Carrizal
193,Caborca,MX,93.54,clear sky,30.5838,-111.101,Hotel Los Lagos
194,Vila Franca Do Campo,PT,69.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
195,Sorong,ID,77.4,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
196,Kavieng,PG,82.72,clear sky,-2.5744,150.7967,Nusa Island Retreat
198,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
199,Cheney,US,85.75,scattered clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
203,Kruisfontein,ZA,69.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
204,Pangai,TO,77.97,clear sky,-19.8,-174.35,Ha'apai Beach Resort
205,Palmas,BR,85.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
209,Vinh,VN,77.72,light rain,18.6667,105.6667,Vuong Hoan 2
210,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
211,Arraial Do Cabo,BR,69.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
214,Carroll,US,87.12,clear sky,39.5501,-77.0164,Best Western Westminster Hotel
216,Ahuimanu,US,85.71,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
217,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
218,Miri,MY,76.19,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
219,Fukue,JP,77.13,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
223,Point Pedro,LK,81.52,overcast clouds,9.8167,80.2333,Gtr homes
225,Benguela,AO,69.15,clear sky,-12.5763,13.4055,Hotel Praia Morena
228,Acarau,BR,78.21,clear sky,-2.8856,-40.12,castelo pizzaria
229,Yuancheng,CN,70.29,moderate rain,36.652,107.7896,
232,Yatou,CN,71.82,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
233,Lukaya,UG,67.06,broken clouds,-0.1489,31.8748,NANA
234,Shunyi,CN,73.35,overcast clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
235,Bowen,AU,67.28,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
236,Pouembout,NC,70.21,overcast clouds,-21.1333,164.9,Camping de Tipenga
238,Lorengau,PG,82.31,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
240,Hasaki,JP,77.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
242,Laizhou,CN,74.41,broken clouds,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
245,Yarmouth,US,82.87,few clouds,41.7057,-70.2286,Blue Rock Resort
246,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
247,Tabuk,PH,74.93,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
248,Hirara,JP,82.13,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
249,Linguere,SN,92.03,broken clouds,15.3953,-15.1193,AYO Casablanca
250,San Quintin,MX,75.49,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
253,Matara,LK,80.26,few clouds,5.9485,80.5353,Amaloh Boutique Resort
255,Jadu,LY,87.39,clear sky,31.953,12.0261,امياس للصرافة
257,Srivardhan,IN,80.15,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
258,Kupang,ID,76.82,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
260,Cairns,AU,72.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
261,Stropkov,SK,82.33,scattered clouds,49.2021,21.6522,Internát Teslák
262,Half Moon Bay,US,78.42,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
263,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
264,Bayamo,CU,85.14,broken clouds,20.3792,-76.6433,Villa Luisa TCV
265,Praia Da Vitoria,PT,70.75,broken clouds,38.7333,-27.0667,Hotel Branco I
266,Huilong,CN,77.94,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
267,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
268,Ukiah,US,92.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
272,Tulum,MX,87.03,broken clouds,20.2167,-87.4667,Kin Ha Tulum
274,Gizo,SB,82.2,light rain,-8.103,156.8419,Imagination Island
275,Barahona,DO,89.42,broken clouds,18.2085,-71.1008,Hotel Caribe
276,Gigmoto,PH,80.78,moderate rain,13.7796,124.39,Cj's Travellers Inn
278,Dalbandin,PK,88.9,broken clouds,28.8947,64.4101,Sanjrani House
281,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
284,Sechura,PE,73.89,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
286,Tefe,BR,80.71,overcast clouds,-3.3542,-64.7114,Aracati Hotel
295,Darhan,MN,69.76,few clouds,49.4867,105.9228,Buudai Hotel
