City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2022-07-01 21:12:12,-23.1203,-134.9692,71.82,74,77,14.23,light rain
1,High Level,CA,2022-07-01 21:12:12,58.5169,-117.136,69.67,26,21,5.64,few clouds
2,Ribeira Grande,PT,2022-07-01 21:12:13,38.5167,-28.7,72.0,68,40,6.91,scattered clouds
3,Hilo,US,2022-07-01 21:08:16,19.7297,-155.09,84.27,72,100,6.91,overcast clouds
4,Atuona,PF,2022-07-01 21:12:15,-9.8,-139.0333,77.29,72,4,8.84,clear sky
5,Nantucket,US,2022-07-01 21:12:15,41.2835,-70.0995,78.91,88,0,14.97,clear sky
6,Bengkulu,ID,2022-07-01 21:12:16,-3.8004,102.2655,72.32,86,82,5.99,broken clouds
7,Punta Arenas,CL,2022-07-01 21:12:16,-53.15,-70.9167,35.71,69,0,5.75,clear sky
8,Upernavik,GL,2022-07-01 21:08:53,72.7868,-56.1549,37.4,84,79,10.67,broken clouds
9,Ushuaia,AR,2022-07-01 21:09:23,-54.8,-68.3,35.26,69,75,2.3,broken clouds
10,Warrington,GB,2022-07-01 21:12:17,53.3925,-2.5802,58.95,87,75,11.5,light rain
11,Albany,US,2022-07-01 21:08:59,42.6001,-73.9662,92.79,41,57,3.0,broken clouds
12,Keuruu,FI,2022-07-01 21:12:17,62.2667,24.7,73.58,59,100,4.09,overcast clouds
13,Nikolskoye,RU,2022-07-01 21:12:18,59.7035,30.7861,67.91,68,97,5.14,overcast clouds
14,Pangody,RU,2022-07-01 21:12:18,65.85,74.4859,47.17,68,75,9.1,broken clouds
15,Tuatapere,NZ,2022-07-01 21:12:19,-46.1333,167.6833,43.16,91,47,5.3,scattered clouds
16,Tottori,JP,2022-07-01 21:12:19,35.5,134.2333,77.29,76,0,4.63,clear sky
17,Saint-Philippe,RE,2022-07-01 21:12:20,-21.3585,55.7679,67.59,71,94,14.74,overcast clouds
18,Yellowknife,CA,2022-07-01 21:12:21,62.456,-114.3525,68.63,31,99,11.14,overcast clouds
19,Ardesen,TR,2022-07-01 21:12:21,41.1911,40.9875,71.13,91,100,5.79,overcast clouds
20,Kapaa,US,2022-07-01 21:12:21,22.0752,-159.319,82.72,74,100,19.57,overcast clouds
21,Dalby,AU,2022-07-01 21:12:22,-27.1833,151.2667,56.98,99,100,1.01,moderate rain
22,Lac-Megantic,CA,2022-07-01 21:12:22,45.5834,-70.8823,80.51,47,100,7.96,overcast clouds
23,Bethel,US,2022-07-01 21:12:23,41.3712,-73.414,92.17,54,20,10.36,few clouds
24,Atar,MR,2022-07-01 21:12:23,20.5169,-13.0499,94.03,13,5,9.84,clear sky
25,Anju,KP,2022-07-01 21:12:24,39.6178,125.6647,70.7,96,100,3.8,overcast clouds
26,Duluth,US,2022-07-01 21:11:10,46.7833,-92.1066,78.3,37,0,23.02,clear sky
27,Busselton,AU,2022-07-01 21:12:24,-33.65,115.3333,47.77,78,0,5.86,clear sky
28,Lusaka,ZM,2022-07-01 21:12:25,-15.4067,28.2871,56.95,71,76,7.49,broken clouds
29,Hithadhoo,MV,2022-07-01 21:12:25,-0.6,73.0833,81.27,75,60,7.9,heavy intensity rain
30,Tasiilaq,GL,2022-07-01 21:12:26,65.6145,-37.6368,39.36,87,78,6.71,broken clouds
31,Puerto Ayora,EC,2022-07-01 21:12:26,-0.7393,-90.3518,78.76,83,43,5.99,scattered clouds
32,Aykhal,RU,2022-07-01 21:12:27,66.0,111.5,64.22,62,98,6.08,overcast clouds
33,Pacifica,US,2022-07-01 21:09:08,37.6138,-122.4869,78.22,79,20,18.41,mist
34,Mataura,NZ,2022-07-01 21:12:28,-46.1927,168.8643,42.48,96,85,3.24,overcast clouds
35,Margate,GB,2022-07-01 21:12:28,51.3813,1.3862,57.87,77,0,4.0,clear sky
36,Altamira,BR,2022-07-01 21:12:29,-3.2033,-52.2064,78.1,77,77,2.3,broken clouds
37,Jamestown,US,2022-07-01 21:12:29,42.097,-79.2353,84.52,61,40,9.22,scattered clouds
38,Bredasdorp,ZA,2022-07-01 21:12:29,-34.5322,20.0403,59.32,58,0,4.63,clear sky
39,Yar-Sale,RU,2022-07-01 21:12:30,66.8333,70.8333,48.78,71,55,12.64,broken clouds
40,Banda Aceh,ID,2022-07-01 21:12:31,5.5577,95.3222,78.82,82,100,13.8,light rain
41,Sawankhalok,TH,2022-07-01 21:12:31,17.316,99.8319,75.9,90,100,3.06,overcast clouds
42,Mount Isa,AU,2022-07-01 21:12:31,-20.7333,139.5,51.57,82,100,13.8,overcast clouds
43,Poopo,BO,2022-07-01 21:12:32,-18.3667,-66.9667,51.78,11,100,10.38,overcast clouds
44,Port Lincoln,AU,2022-07-01 21:12:32,-34.7333,135.8667,52.77,61,100,7.9,overcast clouds
45,New Norfolk,AU,2022-07-01 21:12:33,-42.7826,147.0587,40.71,86,88,1.01,overcast clouds
46,Vaini,TO,2022-07-01 21:12:33,-21.2,-175.2,77.16,83,40,6.91,scattered clouds
47,Niort,FR,2022-07-01 21:12:34,46.3333,-0.3333,56.35,68,12,2.33,few clouds
48,Charters Towers,AU,2022-07-01 21:12:34,-20.1,146.2667,60.96,95,100,10.31,light rain
49,Zhigansk,RU,2022-07-01 21:12:34,66.7697,123.3711,58.82,51,100,6.02,overcast clouds
50,Takoradi,GH,2022-07-01 21:12:35,4.8845,-1.7554,75.51,84,56,8.41,broken clouds
51,Hobart,AU,2022-07-01 21:12:35,-42.8794,147.3294,41.05,90,40,9.22,scattered clouds
52,Hauterive,FR,2022-07-01 21:12:36,46.0901,3.4459,61.56,78,13,2.66,few clouds
53,Waipawa,NZ,2022-07-01 21:12:36,-41.4122,175.5153,43.11,79,0,0.58,clear sky
54,Grand Gaube,MU,2022-07-01 21:12:37,-20.0064,57.6608,67.37,76,78,5.01,broken clouds
55,Yabrud,SY,2022-07-01 21:12:37,33.9674,36.6574,67.39,49,0,1.77,clear sky
56,Namatanai,PG,2022-07-01 21:12:38,-3.6667,152.4333,80.11,78,15,8.75,few clouds
57,Koppal,IN,2022-07-01 21:12:38,15.35,76.15,75.06,82,100,16.08,overcast clouds
58,Chanika,TZ,2022-07-01 21:12:39,-5.4167,38.0167,59.22,97,35,2.75,scattered clouds
59,Road Town,VG,2022-07-01 21:12:39,18.4167,-64.6167,86.09,74,40,11.5,scattered clouds
60,Saskylakh,RU,2022-07-01 21:12:40,71.9167,114.0833,53.04,53,60,6.2,broken clouds
61,Ponta Do Sol,PT,2022-07-01 21:12:41,32.6667,-17.1,70.72,79,12,2.19,few clouds
62,Bambous Virieux,MU,2022-07-01 21:12:41,-20.3428,57.7575,67.21,71,98,18.75,light rain
63,Castro,BR,2022-07-01 21:09:13,-24.7911,-50.0119,55.15,73,0,4.79,clear sky
64,Kommunar,RU,2022-07-01 21:12:42,59.6206,30.39,67.55,71,64,5.55,broken clouds
65,Cidreira,BR,2022-07-01 21:12:42,-30.1811,-50.2056,60.75,82,0,22.1,clear sky
66,Bluff,NZ,2022-07-01 21:12:42,-46.6,168.3333,42.8,79,90,24.54,overcast clouds
67,Thunder Bay,CA,2022-07-01 21:12:43,48.4001,-89.3168,65.32,52,77,9.82,broken clouds
68,East London,ZA,2022-07-01 21:12:43,-33.0153,27.9116,68.99,34,0,9.89,clear sky
69,Dikson,RU,2022-07-01 21:12:44,73.5069,80.5464,33.42,93,100,6.11,overcast clouds
70,Buchanan,LR,2022-07-01 21:12:44,5.8808,-10.0467,77.2,79,100,7.78,overcast clouds
71,Mahebourg,MU,2022-07-01 21:12:45,-20.4081,57.7,67.24,75,91,18.52,light rain
72,San Patricio,US,2022-07-01 21:12:45,28.017,-97.5169,95.72,48,97,14.5,overcast clouds
73,Mahuva,IN,2022-07-01 21:12:46,21.0914,71.7622,82.31,83,100,15.52,moderate rain
74,Hermanus,ZA,2022-07-01 21:12:46,-34.4187,19.2345,60.66,65,2,7.67,clear sky
75,Marienburg,PL,2022-07-01 21:12:47,54.0359,19.0266,70.12,92,95,4.76,light rain
76,Verkhnevilyuysk,RU,2022-07-01 21:12:47,63.4453,120.3167,62.42,68,62,2.77,broken clouds
77,Beringovskiy,RU,2022-07-01 21:12:48,63.05,179.3167,44.1,98,100,4.94,overcast clouds
78,Samarai,PG,2022-07-01 21:12:48,-10.6167,150.6667,80.91,83,98,11.25,overcast clouds
79,Lasa,IT,2022-07-01 21:12:48,46.6166,10.7002,62.37,91,48,2.57,scattered clouds
