City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Punta Arenas,CL,35.71,clear sky,-53.15,-70.9167,Hotel Hain
8,Upernavik,GL,37.4,broken clouds,72.7868,-56.1549,Café de Upernavik
9,Ushuaia,AR,35.26,broken clouds,-54.8,-68.3,Albatross Hotel
10,Warrington,GB,58.95,light rain,53.3925,-2.5802,Villaggio Hotel
14,Pangody,RU,47.17,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
15,Tuatapere,NZ,43.16,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
21,Dalby,AU,56.98,moderate rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
27,Busselton,AU,47.77,clear sky,-33.65,115.3333,Observatory Guest House
28,Lusaka,ZM,56.95,broken clouds,-15.4067,28.2871,"Radisson Blu Hotel, Lusaka"
30,Tasiilaq,GL,39.36,broken clouds,65.6145,-37.6368,The Red House
34,Mataura,NZ,42.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
35,Margate,GB,57.87,clear sky,51.3813,1.3862,Premier Inn Margate hotel
38,Bredasdorp,ZA,59.32,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
39,Yar-Sale,RU,48.78,broken clouds,66.8333,70.8333,Yalemd
42,Mount Isa,AU,51.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
43,Poopo,BO,51.78,overcast clouds,-18.3667,-66.9667,turistico HOTEL
44,Port Lincoln,AU,52.77,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
45,New Norfolk,AU,40.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Niort,FR,56.35,few clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
49,Zhigansk,RU,58.82,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
51,Hobart,AU,41.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
53,Waipawa,NZ,43.11,clear sky,-41.4122,175.5153,Tora Coastal Walk
58,Chanika,TZ,59.22,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
60,Saskylakh,RU,53.04,broken clouds,71.9167,114.0833,
63,Castro,BR,55.15,clear sky,-24.7911,-50.0119,CHACARA BAILLY
66,Bluff,NZ,42.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
69,Dikson,RU,33.42,overcast clouds,73.5069,80.5464,
77,Beringovskiy,RU,44.1,overcast clouds,63.05,179.3167,
86,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
87,Srednekolymsk,RU,59.92,clear sky,67.45,153.6833,
89,La Ronge,CA,59.88,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
98,Longyearbyen,SJ,42.64,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
99,Vestmannaeyjar,IS,53.71,scattered clouds,63.4427,-20.2734,Glamping & Camping
100,Talnakh,RU,52.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
101,Olavarria,AR,47.01,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
103,Carnarvon,AU,59.86,clear sky,-24.8667,113.6333,Hospitality Carnarvon
108,Kargat,RU,52.29,overcast clouds,55.1956,80.2811,Kargat
109,Khatanga,RU,48.65,overcast clouds,71.9667,102.5,"""Khatanga"""
110,Codrington,AU,49.3,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
112,Kondinskoye,RU,54.28,overcast clouds,59.6481,67.41,Gostinitsa
113,Qaanaaq,GL,42.8,broken clouds,77.484,-69.3632,Qaanaaq Hotel
115,Ancud,CL,43.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
117,Urengoy,RU,52.36,broken clouds,65.9667,78.3667,Gostinnitsa Medveditsa
118,Tuktoyaktuk,CA,56.62,few clouds,69.4541,-133.0374,End of The Road Ltd.
121,Sovetskiy,RU,52.36,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
125,Vardo,NO,46.38,overcast clouds,70.3705,31.1107,Vardø Hotel AS
129,Airai,TL,58.64,broken clouds,-8.9266,125.4092,
131,Sisimiut,GL,39.56,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
132,Provideniya,RU,48.15,moderate rain,64.3833,-173.3,
135,Lebu,CL,49.12,broken clouds,-37.6167,-73.65,Hostal Las Lilas
137,Severo-Kurilsk,RU,52.3,overcast clouds,50.6789,156.125,Kak Doma
138,Chiredzi,ZW,59.99,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
139,Mar Del Plata,AR,52.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
144,Leningradskiy,RU,43.29,overcast clouds,69.3833,178.4167,Gostinitsa
151,Iqaluit,CA,41.36,scattered clouds,63.7506,-68.5145,Frobisher Inn
153,Barrow,US,46.42,clear sky,71.2906,-156.7887,King Eider Inn
154,Sorland,NO,57.06,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
162,Tiksi,RU,41.58,overcast clouds,71.6872,128.8694,Arktika
164,Nelson Bay,AU,55.99,light rain,-32.7167,152.15,Mantra Nelson Bay
166,Broken Hill,AU,38.35,clear sky,-31.95,141.4333,Royal Exchange Hotel
169,Pirovskoye,RU,57.33,overcast clouds,57.6267,92.2658,
176,Kargasok,RU,50.13,overcast clouds,59.0556,80.8572,Hotel Kargasok
183,Kodiak,US,54.91,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
186,Port Hedland,AU,53.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
189,Narsaq,GL,55.62,scattered clouds,60.9167,-46.05,Sleep In Narsaq
190,Arklow,IE,58.08,light rain,52.7931,-6.1414,"Arklow Bay Conference, Leisure & Spa Hotel"
191,Sandwick,GB,51.62,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
